date,month,year,country,customer_name,group_1,group_2,packaging,rm_size,soup,order_unit,order_cups,cups_per_unit,production
28,02,2024,SG,CPI SINGAPORE,Wonton TY,Cooked Wonton,115g*24,M,TYTB3C 30G,250,6000,24.0,
26,02,2024,.7-11,ถ้วยขาวพิมพ์กดสีฟ้า,Wonton,Cooked Wonton,130g*24,SS,Regular,2447,58728,24.0,
12,03,2024,CAN,Bellisio Foods Canada,Minced ND,Cooked Wonton,258g*12,BK,Regular,1641.0833333333333,19693,12.0,
05,03,2024,Malay,CPM Malaysia,R-Wonton egg past,Raw Wonton,154g*20inner,S,ซุปซอง 5g.,400,8000,20.0,
05,03,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,154g*40in,S,ซุปซอง 5g.,485,19400,40.0,
12,03,2024,CAN,Bellisio Foods Canada,Minced ND,Cooked Wonton,258g*12,BK,Regular,958.9166666666666,11507,12.0,
26,02,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,34,272,8.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,2400,19200,8.0,
12,03,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,2400,19200,8.0,
01,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,20,720,36.0,
01,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
02,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
02,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,534,19224,36.0,
05,03,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,154g*40in,S,ซุปซอง 5g.,626,25040,40.0,
01,03,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,145g*12,M,Regular,12,144,12.0,
28,02,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,145g*12,M,Regular,1068,12816,12.0,
27,02,2024,.7-11,Seven ถ้วยดำ,E+Wonton,Cooked Wonton,145g*24,M,Regular,1494,35856,24.0,
01,03,2024,.7-11,Seven ถ้วยดำ,E+Wonton,Cooked Wonton,145g*24,M,Regular,1328,31872,24.0,
01,03,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton TY,Cooked Wonton,115g*12,M,TYTB3C 30G,466,5592,12.0,
28,02,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,90g*3B*6B,M,ซุปซอง 5g.,553,9954,18.0,
01,03,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,90g*3B*6B,M,ซุปซอง 5g.,856,15408,18.0,
05,03,2024,Korea,Consumer Package Commerce,R-Wonton egg past,Raw Wonton,154g*40in,S,ซุปซอง 5g.,513,20520,40.0,
02,03,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,164,1312,8.0,
12,03,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,1900,15200,8.0,
19,03,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,1400,11200,8.0,
19,03,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,1900,15200,8.0,
02,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,258,9288,36.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,489,17604,36.0,
28,02,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,145g*12,M,Regular,477,5724,12.0,
01,03,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton,Cooked Wonton,145g*12,M,Regular,417,5004,12.0,
28,02,2024,MTFS,ซีพีเอฟ เทรดดิ้ง,E+Wonton+หมาล่า,Cooked Wonton,143g*12,SS,หมาล่า,233,2796,12.0,
28,02,2024,.7-11,ซีพีเอฟ เทรดดิ้ง,E+Wonton+หมาล่า,Cooked Wonton,143g*24,SS,หมาล่า,995,23880,24.0,
02,03,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,633,5064,8.0,
01,03,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
01,03,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
07,03,2024,CAN,"CP Foods Canada,Inc (CPFC)",Wonton,Cooked Wonton,145g*6c*6in,HC,Y3,1288,46368,36.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,303,10908,36.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
05,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
06,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
06,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,293,10548,36.0,
02,03,2024,China,"Sam's (Shanghai) Investment Co., Ltd.",R-Wonton no egg,Raw Wonton,750g*8in,S,ซุปซอง 5g.,611,4888,8.0,
04,03,2024,HK,CPM Hongkong,R-Minced egg past,Raw Wonton,90g*18in,BK,ซุปซอง 5g.,250,4500,18.0,
19,03,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,1900,15200,8.0,
25,03,2024,USA,"Bellisio Foods, Inc.",Minced ND,Cooked Wonton,258g*8,BK,Regular,1900,15200,8.0,
06,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,499,17964,36.0,
06,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
06,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
07,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,792,28512,36.0,
08,03,2024,USA,"Bellisio Foods, Inc.",Wonton ND+V,Cooked Wonton,308g*6c*6in,HC,Y3,161,5796,36.0,
04,03,2024,HK,CPM Hongkong,R-Wonton egg past,Raw Wonton,101g*18in,S,ซุปซอง 5g.,1650,29700,18.0,
